"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"50-54 years"	"50-54"	"Male"	"M"	"2017"	"2017"	3788	10520182	36.0
	"50-54 years"	"50-54"	"Male"	"M"	"2018"	"2018"	3631	10277207	35.3
	"50-54 years"	"50-54"	"Male"	"M"	"2019"	"2019"	3714	10086611	36.8
	"50-54 years"	"50-54"	"Male"	"M"	"2020 "	"2020"	4568	10051788	45.4
	"55-59 years"	"55-59"	"Female"	"F"	"1999"	"1999"	494	6765034	7.3
	"55-59 years"	"55-59"	"Female"	"F"	"2000"	"2000"	581	6960508	8.3
	"55-59 years"	"55-59"	"Female"	"F"	"2001"	"2001"	526	7209396	7.3
	"55-59 years"	"55-59"	"Female"	"F"	"2002"	"2002"	611	7801990	7.8
	"55-59 years"	"55-59"	"Female"	"F"	"2003"	"2003"	658	8141956	8.1
	"55-59 years"	"55-59"	"Female"	"F"	"2004"	"2004"	706	8547949	8.3
	"55-59 years"	"55-59"	"Female"	"F"	"2005"	"2005"	746	9007859	8.3
	"55-59 years"	"55-59"	"Female"	"F"	"2006"	"2006"	819	9473065	8.6
	"55-59 years"	"55-59"	"Female"	"F"	"2007"	"2007"	841	9509473	8.8
	"55-59 years"	"55-59"	"Female"	"F"	"2008"	"2008"	916	9702238	9.4
	"55-59 years"	"55-59"	"Female"	"F"	"2009"	"2009"	1038	9946217	10.4
	"55-59 years"	"55-59"	"Female"	"F"	"2010"	"2010"	1009	10141157	9.9
	"55-59 years"	"55-59"	"Female"	"F"	"2011"	"2011"	1204	10439497	11.5
	"55-59 years"	"55-59"	"Female"	"F"	"2012"	"2012"	1254	10704108	11.7
	"55-59 years"	"55-59"	"Female"	"F"	"2013"	"2013"	1380	10912048	12.6
	"55-59 years"	"55-59"	"Female"	"F"	"2014"	"2014"	1582	11067461	14.3
	"55-59 years"	"55-59"	"Female"	"F"	"2015"	"2015"	1714	11210375	15.3
	"55-59 years"	"55-59"	"Female"	"F"	"2016"	"2016"	1820	11296702	16.1
	"55-59 years"	"55-59"	"Female"	"F"	"2017"	"2017"	1877	11307436	16.6
	"55-59 years"	"55-59"	"Female"	"F"	"2018"	"2018"	2029	11271658	18.0
	"55-59 years"	"55-59"	"Female"	"F"	"2019"	"2019"	2074	11234902	18.5
	"55-59 years"	"55-59"	"Female"	"F"	"2020 "	"2020"	2508	11091171	22.6
	"55-59 years"	"55-59"	"Male"	"M"	"1999"	"1999"	1880	6319787	29.7
	"55-59 years"	"55-59"	"Male"	"M"	"2000"	"2000"	1874	6508729	28.8
	"55-59 years"	"55-59"	"Male"	"M"	"2001"	"2001"	1969	6759579	29.1
	"55-59 years"	"55-59"	"Male"	"M"	"2002"	"2002"	2123	7341077	28.9
	"55-59 years"	"55-59"	"Male"	"M"	"2003"	"2003"	2233	7672601	29.1
	"55-59 years"	"55-59"	"Male"	"M"	"2004"	"2004"	2403	8059227	29.8
	"55-59 years"	"55-59"	"Male"	"M"	"2005"	"2005"	2673	8495361	31.5
	"55-59 years"	"55-59"	"Male"	"M"	"2006"	"2006"	2816	8923795	31.6
	"55-59 years"	"55-59"	"Male"	"M"	"2007"	"2007"	2953	8945299	33.0
	"55-59 years"	"55-59"	"Male"	"M"	"2008"	"2008"	3079	9112330	33.8
	"55-59 years"	"55-59"	"Male"	"M"	"2009"	"2009"	3268	9334386	35.0
	"55-59 years"	"55-59"	"Male"	"M"	"2010"	"2010"	3552	9523648	37.3
	"55-59 years"	"55-59"	"Male"	"M"	"2011"	"2011"	3680	9816051	37.5
	"55-59 years"	"55-59"	"Male"	"M"	"2012"	"2012"	3942	10068409	39.2
	"55-59 years"	"55-59"	"Male"	"M"	"2013"	"2013"	4118	10282382	40.0
	"55-59 years"	"55-59"	"Male"	"M"	"2014"	"2014"	4338	10443988	41.5
	"55-59 years"	"55-59"	"Male"	"M"	"2015"	"2015"	4555	10597567	43.0
	"55-59 years"	"55-59"	"Male"	"M"	"2016"	"2016"	4759	10683406	44.5
	"55-59 years"	"55-59"	"Male"	"M"	"2017"	"2017"	4818	10700520	45.0
	"55-59 years"	"55-59"	"Male"	"M"	"2018"	"2018"	5092	10669327	47.7
	"55-59 years"	"55-59"	"Male"	"M"	"2019"	"2019"	5116	10642489	48.1
	"55-59 years"	"55-59"	"Male"	"M"	"2020 "	"2020"	6069	10511928	57.7
	"60-64 years "	"60-64"	"Female"	"F"	"1999"	"1999"	464	5613729	8.3
	"60-64 years "	"60-64"	"Female"	"F"	"2000"	"2000"	472	5668820	8.3
	"60-64 years "	"60-64"	"Female"	"F"	"2001"	"2001"	466	5834170	8.0
	"60-64 years "	"60-64"	"Female"	"F"	"2002"	"2002"	440	6051668	7.3
	"60-64 years "	"60-64"	"Female"	"F"	"2003"	"2003"	513	6377463	8.0
	"60-64 years "	"60-64"	"Female"	"F"	"2004"	"2004"	512	6637798	7.7
	"60-64 years "	"60-64"	"Female"	"F"	"2005"	"2005"	568	6860551	8.3
	"60-64 years "	"60-64"	"Female"	"F"	"2006"	"2006"	572	7058989	8.1
	"60-64 years "	"60-64"	"Female"	"F"	"2007"	"2007"	622	7639198	8.1
	"60-64 years "	"60-64"	"Female"	"F"	"2008"	"2008"	626	7979525	7.8
	"60-64 years "	"60-64"	"Female"	"F"	"2009"	"2009"	690	8383324	8.2
	"60-64 years "	"60-64"	"Female"	"F"	"2010"	"2010"	796	8740424	9.1
	"60-64 years "	"60-64"	"Female"	"F"	"2011"	"2011"	893	9264438	9.6
	"60-64 years "	"60-64"	"Female"	"F"	"2012"	"2012"	914	9279200	9.8
	"60-64 years "	"60-64"	"Female"	"F"	"2013"	"2013"	961	9447628	10.2
	"60-64 years "	"60-64"	"Female"	"F"	"2014"	"2014"	1140	9688238	11.8
	"60-64 years "	"60-64"	"Female"	"F"	"2015"	"2015"	1292	9952697	13.0
	"60-64 years "	"60-64"	"Female"	"F"	"2016"	"2016"	1342	10167404	13.2
	"60-64 years "	"60-64"	"Female"	"F"	"2017"	"2017"	1457	10430419	14.0
	"60-64 years "	"60-64"	"Female"	"F"	"2018"	"2018"	1533	10602115	14.5
	"60-64 years "	"60-64"	"Female"	"F"	"2019"	"2019"	1766	10714416	16.5
	"60-64 years "	"60-64"	"Female"	"F"	"2020 "	"2020"	2088	10823072	19.3
	"60-64 years "	"60-64"	"Male"	"M"	"1999"	"1999"	1601	5079476	31.5
	"60-64 years "	"60-64"	"Male"	"M"	"2000"	"2000"	1615	5136627	31.4
	"60-64 years "	"60-64"	"Male"	"M"	"2001"	"2001"	1638	5302150	30.9
	"60-64 years "	"60-64"	"Male"	"M"	"2002"	"2002"	1714	5508597	31.1
	"60-64 years "	"60-64"	"Male"	"M"	"2003"	"2003"	1764	5816925	30.3
	"60-64 years "	"60-64"	"Male"	"M"	"2004"	"2004"	1821	6060330	30.0
	"60-64 years "	"60-64"	"Male"	"M"	"2005"	"2005"	1943	6277726	31.0
	"60-64 years "	"60-64"	"Male"	"M"	"2006"	"2006"	1920	6474264	29.7
	"60-64 years "	"60-64"	"Male"	"M"	"2007"	"2007"	2181	7034464	31.0
	"60-64 years "	"60-64"	"Male"	"M"	"2008"	"2008"	2459	7362970	33.4
	"60-64 years "	"60-64"	"Male"	"M"	"2009"	"2009"	2385	7741673	30.8
	"60-64 years "	"60-64"	"Male"	"M"	"2010"	"2010"	2629	8077500	32.5
	"60-64 years "	"60-64"	"Male"	"M"	"2011"	"2011"	2879	8542154	33.7
	"60-64 years "	"60-64"	"Male"	"M"	"2012"	"2012"	3189	8534485	37.4
	"60-64 years "	"60-64"	"Male"	"M"	"2013"	"2013"	3475	8674373	40.1
	"60-64 years "	"60-64"	"Male"	"M"	"2014"	"2014"	3700	8877894	41.7
	"60-64 years "	"60-64"	"Male"	"M"	"2015"	"2015"	3984	9117180	43.7
	"60-64 years "	"60-64"	"Male"	"M"	"2016"	"2016"	4394	9315632	47.2
	"60-64 years "	"60-64"	"Male"	"M"	"2017"	"2017"	4543	9557283	47.5
	"60-64 years "	"60-64"	"Male"	"M"	"2018"	"2018"	4648	9729536	47.8
	"60-64 years "	"60-64"	"Male"	"M"	"2019"	"2019"	4858	9856730	49.3
	"60-64 years "	"60-64"	"Male"	"M"	"2020 "	"2020"	6014	9977506	60.3
	"65-69 years"	"65-69"	"Female"	"F"	"1999"	"1999"	359	5141988	7.0
	"65-69 years"	"65-69"	"Female"	"F"	"2000"	"2000"	371	5133183	7.2
	"65-69 years"	"65-69"	"Female"	"F"	"2001"	"2001"	388	5134618	7.6
	"65-69 years"	"65-69"	"Female"	"F"	"2002"	"2002"	342	5163814	6.6
	"65-69 years"	"65-69"	"Female"	"F"	"2003"	"2003"	392	5253706	7.5
	"65-69 years"	"65-69"	"Female"	"F"	"2004"	"2004"	386	5370418	7.2
	"65-69 years"	"65-69"	"Female"	"F"	"2005"	"2005"	383	5469500	7.0
	"65-69 years"	"65-69"	"Female"	"F"	"2006"	"2006"	353	5609202	6.3
	"65-69 years"	"65-69"	"Female"	"F"	"2007"	"2007"	389	5824805	6.7
	"65-69 years"	"65-69"	"Female"	"F"	"2008"	"2008"	430	6147908	7.0
	"65-69 years"	"65-69"	"Female"	"F"	"2009"	"2009"	433	6407878	6.8
	"65-69 years"	"65-69"	"Female"	"F"	"2010"	"2010"	485	6582716	7.4
	"65-69 years"	"65-69"	"Female"	"F"	"2011"	"2011"	485	6801858	7.1
	"65-69 years"	"65-69"	"Female"	"F"	"2012"	"2012"	562	7370497	7.6
	"65-69 years"	"65-69"	"Female"	"F"	"2013"	"2013"	608	7695527	7.9
	"65-69 years"	"65-69"	"Female"	"F"	"2014"	"2014"	660	8076160	8.2
	"65-69 years"	"65-69"	"Female"	"F"	"2015"	"2015"	758	8471278	8.9
	"65-69 years"	"65-69"	"Female"	"F"	"2016"	"2016"	872	8883164	9.8
	"65-69 years"	"65-69"	"Female"	"F"	"2017"	"2017"	880	8906513	9.9
	"65-69 years"	"65-69"	"Female"	"F"	"2018"	"2018"	1035	9052080	11.4
	"65-69 years"	"65-69"	"Female"	"F"	"2019"	"2019"	1092	9255228	11.8
	"65-69 years"	"65-69"	"Female"	"F"	"2020 "	"2020"	1436	9483316	15.1
	"65-69 years"	"65-69"	"Male"	"M"	"1999"	"1999"	1317	4399510	29.9
	"65-69 years"	"65-69"	"Male"	"M"	"2000"	"2000"	1273	4400362	28.9
	"65-69 years"	"65-69"	"Male"	"M"	"2001"	"2001"	1257	4427615	28.4
	"65-69 years"	"65-69"	"Male"	"M"	"2002"	"2002"	1240	4474667	27.7
	"65-69 years"	"65-69"	"Male"	"M"	"2003"	"2003"	1249	4577090	27.3
	"65-69 years"	"65-69"	"Male"	"M"	"2004"	"2004"	1304	4703011	27.7
	"65-69 years"	"65-69"	"Male"	"M"	"2005"	"2005"	1273	4809127	26.5
	"65-69 years"	"65-69"	"Male"	"M"	"2006"	"2006"	1309	4943999	26.5
	"65-69 years"	"65-69"	"Male"	"M"	"2007"	"2007"	1413	5145430	27.5
	"65-69 years"	"65-69"	"Male"	"M"	"2008"	"2008"	1507	5446439	27.7
	"65-69 years"	"65-69"	"Male"	"M"	"2009"	"2009"	1575	5684499	27.7
	"65-69 years"	"65-69"	"Male"	"M"	"2010"	"2010"	1708	5852547	29.2
	"65-69 years"	"65-69"	"Male"	"M"	"2011"	"2011"	1671	6071930	27.5
	"65-69 years"	"65-69"	"Male"	"M"	"2012"	"2012"	1865	6606856	28.2
	"65-69 years"	"65-69"	"Male"	"M"	"2013"	"2013"	2078	6913190	30.1
	"65-69 years"	"65-69"	"Male"	"M"	"2014"	"2014"	2386	7249106	32.9
	"65-69 years"	"65-69"	"Male"	"M"	"2015"	"2015"	2646	7596190	34.8
	"65-69 years"	"65-69"	"Male"	"M"	"2016"	"2016"	2921	7936919	36.8
	"65-69 years"	"65-69"	"Male"	"M"	"2017"	"2017"	3076	7929868	38.8
	"65-69 years"	"65-69"	"Male"	"M"	"2018"	"2018"	3283	8034813	40.9
	"65-69 years"	"65-69"	"Male"	"M"	"2019"	"2019"	3380	8199773	41.2
	"65-69 years"	"65-69"	"Male"	"M"	"2020 "	"2020"	4192	8390351	50.0
	"70-74 years"	"70-74"	"Female"	"F"	"1999"	"1999"	297	4983436	6.0
	"70-74 years"	"70-74"	"Female"	"F"	"2000"	"2000"	290	4954529	5.9
	"70-74 years"	"70-74"	"Female"	"F"	"2001"	"2001"	277	4908508	5.6
	"70-74 years"	"70-74"	"Female"	"F"	"2002"	"2002"	335	4852844	6.9
	"70-74 years"	"70-74"	"Female"	"F"	"2003"	"2003"	259	4794496	5.4
	"70-74 years"	"70-74"	"Female"	"F"	"2004"	"2004"	274	4739945	5.8
	"70-74 years"	"70-74"	"Female"	"F"	"2005"	"2005"	306	4729069	6.5
	"70-74 years"	"70-74"	"Female"	"F"	"2006"	"2006"	277	4741436	5.8
	"70-74 years"	"70-74"	"Female"	"F"	"2007"	"2007"	255	4770997	5.3
	"70-74 years"	"70-74"	"Female"	"F"	"2008"	"2008"	275	4856336	5.7
	"70-74 years"	"70-74"	"Female"	"F"	"2009"	"2009"	294	4967279	5.9
	"70-74 years"	"70-74"	"Female"	"F"	"2010"	"2010"	284	5034194	5.6
	"70-74 years"	"70-74"	"Female"	"F"	"2011"	"2011"	273	5203567	5.2
	"70-74 years"	"70-74"	"Female"	"F"	"2012"	"2012"	332	5412033	6.1
	"70-74 years"	"70-74"	"Female"	"F"	"2013"	"2013"	344	5723597	6.0
	"70-74 years"	"70-74"	"Female"	"F"	"2014"	"2014"	360	5973085	6.0
	"70-74 years"	"70-74"	"Female"	"F"	"2015"	"2015"	402	6186891	6.5
	"70-74 years"	"70-74"	"Female"	"F"	"2016"	"2016"	473	6356057	7.4
	"70-74 years"	"70-74"	"Female"	"F"	"2017"	"2017"	528	6899793	7.7
	"70-74 years"	"70-74"	"Female"	"F"	"2018"	"2018"	593	7194151	8.2
	"70-74 years"	"70-74"	"Female"	"F"	"2019"	"2019"	617	7528626	8.2
	"70-74 years"	"70-74"	"Female"	"F"	"2020 "	"2020"	802	7882542	10.2
	"70-74 years"	"70-74"	"Male"	"M"	"1999"	"1999"	953	3893975	24.5
	"70-74 years"	"70-74"	"Male"	"M"	"2000"	"2000"	976	3902912	25.0
	"70-74 years"	"70-74"	"Male"	"M"	"2001"	"2001"	924	3913438	23.6
	"70-74 years"	"70-74"	"Male"	"M"	"2002"	"2002"	918	3897210	23.6
	"70-74 years"	"70-74"	"Male"	"M"	"2003"	"2003"	871	3875623	22.5
	"70-74 years"	"70-74"	"Male"	"M"	"2004"	"2004"	928	3854159	24.1
	"70-74 years"	"70-74"	"Male"	"M"	"2005"	"2005"	860	3874001	22.2
	"70-74 years"	"70-74"	"Male"	"M"	"2006"	"2006"	849	3908390	21.7
	"70-74 years"	"70-74"	"Male"	"M"	"2007"	"2007"	936	3957495	23.7
	"70-74 years"	"70-74"	"Male"	"M"	"2008"	"2008"	932	4054996	23.0
	"70-74 years"	"70-74"	"Male"	"M"	"2009"	"2009"	907	4173443	21.7
	"70-74 years"	"70-74"	"Male"	"M"	"2010"	"2010"	943	4243972	22.2
	"70-74 years"	"70-74"	"Male"	"M"	"2011"	"2011"	997	4404383	22.6
	"70-74 years"	"70-74"	"Male"	"M"	"2012"	"2012"	1035	4596006	22.5
	"70-74 years"	"70-74"	"Male"	"M"	"2013"	"2013"	1155	4884452	23.6
	"70-74 years"	"70-74"	"Male"	"M"	"2014"	"2014"	1250	5099939	24.5
	"70-74 years"	"70-74"	"Male"	"M"	"2015"	"2015"	1449	5296158	27.4
	"70-74 years"	"70-74"	"Male"	"M"	"2016"	"2016"	1556	5454190	28.5
	"70-74 years"	"70-74"	"Male"	"M"	"2017"	"2017"	1732	5947272	29.1
	"70-74 years"	"70-74"	"Male"	"M"	"2018"	"2018"	1856	6211272	29.9
	"70-74 years"	"70-74"	"Male"	"M"	"2019"	"2019"	1988	6499806	30.6
	"70-74 years"	"70-74"	"Male"	"M"	"2020 "	"2020"	2394	6793189	35.2
	"75-79 years"	"75-79"	"Female"	"F"	"1999"	"1999"	239	4331221	5.5
	"75-79 years"	"75-79"	"Female"	"F"	"2000"	"2000"	190	4371357	4.3
	"75-79 years"	"75-79"	"Female"	"F"	"2001"	"2001"	224	4378159	5.1
	"75-79 years"	"75-79"	"Female"	"F"	"2002"	"2002"	231	4368692	5.3
	"75-79 years"	"75-79"	"Female"	"F"	"2003"	"2003"	212	4365982	4.9
	"75-79 years"	"75-79"	"Female"	"F"	"2004"	"2004"	191	4321319	4.4
	"75-79 years"	"75-79"	"Female"	"F"	"2005"	"2005"	173	4299256	4.0
	"75-79 years"	"75-79"	"Female"	"F"	"2006"	"2006"	214	4269136	5.0
	"75-79 years"	"75-79"	"Female"	"F"	"2007"	"2007"	193	4225224	4.6
	"75-79 years"	"75-79"	"Female"	"F"	"2008"	"2008"	181	4178497	4.3
	"75-79 years"	"75-79"	"Female"	"F"	"2009"	"2009"	207	4135780	5.0
	"75-79 years"	"75-79"	"Female"	"F"	"2010"	"2010"	189	4135407	4.6
	"75-79 years"	"75-79"	"Female"	"F"	"2011"	"2011"	182	4155949	4.4
	"75-79 years"	"75-79"	"Female"	"F"	"2012"	"2012"	214	4198131	5.1
	"75-79 years"	"75-79"	"Female"	"F"	"2013"	"2013"	208	4287534	4.9
	"75-79 years"	"75-79"	"Female"	"F"	"2014"	"2014"	228	4410758	5.2
	"75-79 years"	"75-79"	"Female"	"F"	"2015"	"2015"	224	4512927	5.0
	"75-79 years"	"75-79"	"Female"	"F"	"2016"	"2016"	239	4644276	5.1
	"75-79 years"	"75-79"	"Female"	"F"	"2017"	"2017"	256	4842445	5.3
	"75-79 years"	"75-79"	"Female"	"F"	"2018"	"2018"	293	5122392	5.7
	"75-79 years"	"75-79"	"Female"	"F"	"2019"	"2019"	340	5334166	6.4
	"75-79 years"	"75-79"	"Female"	"F"	"2020 "	"2020"	396	5513149	7.2
	"75-79 years"	"75-79"	"Male"	"M"	"1999"	"1999"	637	3011385	21.2
	"75-79 years"	"75-79"	"Male"	"M"	"2000"	"2000"	641	3044456	21.1
	"75-79 years"	"75-79"	"Male"	"M"	"2001"	"2001"	592	3077254	19.2
	"75-79 years"	"75-79"	"Male"	"M"	"2002"	"2002"	575	3101769	18.5
	"75-79 years"	"75-79"	"Male"	"M"	"2003"	"2003"	558	3131860	17.8
	"75-79 years"	"75-79"	"Male"	"M"	"2004"	"2004"	601	3140080	19.1
	"75-79 years"	"75-79"	"Male"	"M"	"2005"	"2005"	573	3164353	18.1
	"75-79 years"	"75-79"	"Male"	"M"	"2006"	"2006"	597	3177898	18.8
	"75-79 years"	"75-79"	"Male"	"M"	"2007"	"2007"	633	3175139	19.9
	"75-79 years"	"75-79"	"Male"	"M"	"2008"	"2008"	578	3167246	18.2
	"75-79 years"	"75-79"	"Male"	"M"	"2009"	"2009"	560	3159284	17.7
	"75-79 years"	"75-79"	"Male"	"M"	"2010"	"2010"	595	3182388	18.7
	"75-79 years"	"75-79"	"Male"	"M"	"2011"	"2011"	595	3232738	18.4
	"75-79 years"	"75-79"	"Male"	"M"	"2012"	"2012"	687	3291452	20.9
	"75-79 years"	"75-79"	"Male"	"M"	"2013"	"2013"	695	3390347	20.5
	"75-79 years"	"75-79"	"Male"	"M"	"2014"	"2014"	707	3511566	20.1
	"75-79 years"	"75-79"	"Male"	"M"	"2015"	"2015"	781	3610906	21.6
	"75-79 years"	"75-79"	"Male"	"M"	"2016"	"2016"	849	3723619	22.8
	"75-79 years"	"75-79"	"Male"	"M"	"2017"	"2017"	857	3898816	22.0
	"75-79 years"	"75-79"	"Male"	"M"	"2018"	"2018"	1024	4144674	24.7
	"75-79 years"	"75-79"	"Male"	"M"	"2019"	"2019"	1032	4318499	23.9
	"75-79 years"	"75-79"	"Male"	"M"	"2020 "	"2020"	1213	4473684	27.1
	"80-84 years"	"80-84"	"Female"	"F"	"1999"	"1999"	116	3079977	3.8
	"80-84 years"	"80-84"	"Female"	"F"	"2000"	"2000"	118	3110470	3.8
	"80-84 years"	"80-84"	"Female"	"F"	"2001"	"2001"	122	3211574	3.8
	"80-84 years"	"80-84"	"Female"	"F"	"2002"	"2002"	114	3295412	3.5
	"80-84 years"	"80-84"	"Female"	"F"	"2003"	"2003"	105	3347175	3.1
	"80-84 years"	"80-84"	"Female"	"F"	"2004"	"2004"	115	3417423	3.4
	"80-84 years"	"80-84"	"Female"	"F"	"2005"	"2005"	133	3454579	3.8
	"80-84 years"	"80-84"	"Female"	"F"	"2006"	"2006"	150	3463549	4.3
	"80-84 years"	"80-84"	"Female"	"F"	"2007"	"2007"	122	3469267	3.5
	"80-84 years"	"80-84"	"Female"	"F"	"2008"	"2008"	124	3477946	3.6
	"80-84 years"	"80-84"	"Female"	"F"	"2009"	"2009"	111	3454860	3.2
	"80-84 years"	"80-84"	"Female"	"F"	"2010"	"2010"	128	3448953	3.7
	"80-84 years"	"80-84"	"Female"	"F"	"2011"	"2011"	121	3446248	3.5
	"80-84 years"	"80-84"	"Female"	"F"	"2012"	"2012"	122	3426353	3.6
	"80-84 years"	"80-84"	"Female"	"F"	"2013"	"2013"	117	3398468	3.4
	"80-84 years"	"80-84"	"Female"	"F"	"2014"	"2014"	103	3378554	3.0
	"80-84 years"	"80-84"	"Female"	"F"	"2015"	"2015"	132	3386676	3.9
	"80-84 years"	"80-84"	"Female"	"F"	"2016"	"2016"	138	3412384	4.0
	"80-84 years"	"80-84"	"Female"	"F"	"2017"	"2017"	137	3456231	4.0
	"80-84 years"	"80-84"	"Female"	"F"	"2018"	"2018"	144	3536942	4.1
	"80-84 years"	"80-84"	"Female"	"F"	"2019"	"2019"	137	3637483	3.8
	"80-84 years"	"80-84"	"Female"	"F"	"2020 "	"2020"	198	3715123	5.3
	"80-84 years"	"80-84"	"Male"	"M"	"1999"	"1999"	299	1802331	16.6
	"80-84 years"	"80-84"	"Male"	"M"	"2000"	"2000"	274	1834897	14.9
	"80-84 years"	"80-84"	"Male"	"M"	"2001"	"2001"	266	1926631	13.8
	"80-84 years"	"80-84"	"Male"	"M"	"2002"	"2002"	270	1998991	13.5
	"80-84 years"	"80-84"	"Male"	"M"	"2003"	"2003"	308	2051421	15.0
	"80-84 years"	"80-84"	"Male"	"M"	"2004"	"2004"	293	2111081	13.9
	"80-84 years"	"80-84"	"Male"	"M"	"2005"	"2005"	322	2156614	14.9
	"80-84 years"	"80-84"	"Male"	"M"	"2006"	"2006"	308	2184568	14.1
	"80-84 years"	"80-84"	"Male"	"M"	"2007"	"2007"	312	2217809	14.1
	"80-84 years"	"80-84"	"Male"	"M"	"2008"	"2008"	347	2252413	15.4
	"80-84 years"	"80-84"	"Male"	"M"	"2009"	"2009"	316	2272851	13.9
	"80-84 years"	"80-84"	"Male"	"M"	"2010"	"2010"	338	2294374	14.7
	"80-84 years"	"80-84"	"Male"	"M"	"2011"	"2011"	372	2340295	15.9
	"80-84 years"	"80-84"	"Male"	"M"	"2012"	"2012"	341	2356698	14.5
	"80-84 years"	"80-84"	"Male"	"M"	"2013"	"2013"	369	2370170	15.6
	"80-84 years"	"80-84"	"Male"	"M"	"2014"	"2014"	396	2381812	16.6
	"80-84 years"	"80-84"	"Male"	"M"	"2015"	"2015"	420	2412665	17.4
	"80-84 years"	"80-84"	"Male"	"M"	"2016"	"2016"	455	2453255	18.5
	"80-84 years"	"80-84"	"Male"	"M"	"2017"	"2017"	464	2509059	18.5
	"80-84 years"	"80-84"	"Male"	"M"	"2018"	"2018"	453	2590366	17.5
	"80-84 years"	"80-84"	"Male"	"M"	"2019"	"2019"	511	2679724	19.1
	"80-84 years"	"80-84"	"Male"	"M"	"2020 "	"2020"	554	2749591	20.1
	"85-89 years"	"85-89"	"Female"	"F"	"1999"	"1999"	61	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2000"	"2000"	53	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2001"	"2001"	51	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2002"	"2002"	50	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2003"	"2003"	59	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2004"	"2004"	59	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2005"	"2005"	56	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2006"	"2006"	69	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2007"	"2007"	56	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2008"	"2008"	61	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2009"	"2009"	56	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2010"	"2010"	68	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2011"	"2011"	69	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2012"	"2012"	70	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2013"	"2013"	62	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2014"	"2014"	73	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2015"	"2015"	75	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2016"	"2016"	75	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2017"	"2017"	76	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2018"	"2018"	80	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2019"	"2019"	74	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2020 "	"2020"	87	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"1999"	"1999"	114	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2000"	"2000"	109	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2001"	"2001"	115	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2002"	"2002"	104	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2003"	"2003"	90	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2004"	"2004"	106	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2005"	"2005"	115	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2006"	"2006"	126	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2007"	"2007"	129	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2008"	"2008"	148	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2009"	"2009"	139	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2010"	"2010"	152	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2011"	"2011"	143	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2012"	"2012"	154	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2013"	"2013"	163	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2014"	"2014"	188	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2015"	"2015"	180	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2016"	"2016"	213	Not Applicable	Not Applicable
