"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"2016"	"2016"	"Male"	"M"	7713	10801846	71.4
"Total"	"15-19 years"	"15-19"	"2016"	"2016"			10812	21129999	51.2
	"15-19 years"	"15-19"	"2017"	"2017"	"Female"	"F"	3037	10331169	29.4
	"15-19 years"	"15-19"	"2017"	"2017"	"Male"	"M"	7849	10800491	72.7
"Total"	"15-19 years"	"15-19"	"2017"	"2017"			10886	21131660	51.5
	"15-19 years"	"15-19"	"2018"	"2018"	"Female"	"F"	3000	10322313	29.1
	"15-19 years"	"15-19"	"2018"	"2018"	"Male"	"M"	7380	10774908	68.5
"Total"	"15-19 years"	"15-19"	"2018"	"2018"			10380	21097221	49.2
	"15-19 years"	"15-19"	"2019"	"2019"	"Female"	"F"	2897	10308963	28.1
	"15-19 years"	"15-19"	"2019"	"2019"	"Male"	"M"	7361	10745607	68.5
"Total"	"15-19 years"	"15-19"	"2019"	"2019"			10258	21054570	48.7
	"15-19 years"	"15-19"	"2020 "	"2020"	"Female"	"F"	3327	10266332	32.4
	"15-19 years"	"15-19"	"2020 "	"2020"	"Male"	"M"	8951	10694597	83.7
"Total"	"15-19 years"	"15-19"	"2020 "	"2020"			12278	20960929	58.6
"Total"	"15-19 years"	"15-19"					262098	466791274	56.1
	"20-24 years"	"20-24"	"1999"	"1999"	"Female"	"F"	4244	9098615	46.6
	"20-24 years"	"20-24"	"1999"	"1999"	"Male"	"M"	12634	9492814	133.1
"Total"	"20-24 years"	"20-24"	"1999"	"1999"			16878	18591429	90.8
	"20-24 years"	"20-24"	"2000"	"2000"	"Female"	"F"	4370	9276187	47.1
	"20-24 years"	"20-24"	"2000"	"2000"	"Male"	"M"	13374	9687814	138.0
"Total"	"20-24 years"	"20-24"	"2000"	"2000"			17744	18964001	93.6
	"20-24 years"	"20-24"	"2001"	"2001"	"Female"	"F"	4500	9676950	46.5
	"20-24 years"	"20-24"	"2001"	"2001"	"Male"	"M"	14197	10080336	140.8
"Total"	"20-24 years"	"20-24"	"2001"	"2001"			18697	19757286	94.6
	"20-24 years"	"20-24"	"2002"	"2002"	"Female"	"F"	4662	9916245	47.0
	"20-24 years"	"20-24"	"2002"	"2002"	"Male"	"M"	14572	10327520	141.1
"Total"	"20-24 years"	"20-24"	"2002"	"2002"			19234	20243765	95.0
	"20-24 years"	"20-24"	"2003"	"2003"	"Female"	"F"	5009	10093723	49.6
	"20-24 years"	"20-24"	"2003"	"2003"	"Male"	"M"	14964	10497965	142.5
"Total"	"20-24 years"	"20-24"	"2003"	"2003"			19973	20591688	97.0
	"20-24 years"	"20-24"	"2004"	"2004"	"Female"	"F"	4806	10190641	47.2
	"20-24 years"	"20-24"	"2004"	"2004"	"Male"	"M"	14909	10654919	139.9
"Total"	"20-24 years"	"20-24"	"2004"	"2004"			19715	20845560	94.6
	"20-24 years"	"20-24"	"2005"	"2005"	"Female"	"F"	4908	10222806	48.0
	"20-24 years"	"20-24"	"2005"	"2005"	"Male"	"M"	15623	10737149	145.5
"Total"	"20-24 years"	"20-24"	"2005"	"2005"			20531	20959955	98.0
	"20-24 years"	"20-24"	"2006"	"2006"	"Female"	"F"	4996	10238784	48.8
	"20-24 years"	"20-24"	"2006"	"2006"	"Male"	"M"	16152	10797351	149.6
"Total"	"20-24 years"	"20-24"	"2006"	"2006"			21148	21036135	100.5
	"20-24 years"	"20-24"	"2007"	"2007"	"Female"	"F"	4925	10270163	48.0
	"20-24 years"	"20-24"	"2007"	"2007"	"Male"	"M"	15758	10807836	145.8
"Total"	"20-24 years"	"20-24"	"2007"	"2007"			20683	21077999	98.1
	"20-24 years"	"20-24"	"2008"	"2008"	"Female"	"F"	4722	10339566	45.7
	"20-24 years"	"20-24"	"2008"	"2008"	"Male"	"M"	15069	10841046	139.0
"Total"	"20-24 years"	"20-24"	"2008"	"2008"			19791	21180612	93.4
	"20-24 years"	"20-24"	"2009"	"2009"	"Female"	"F"	4760	10459413	45.5
	"20-24 years"	"20-24"	"2009"	"2009"	"Male"	"M"	14136	10924709	129.4
"Total"	"20-24 years"	"20-24"	"2009"	"2009"			18896	21384122	88.4
	"20-24 years"	"20-24"	"2010"	"2010"	"Female"	"F"	4740	10571823	44.8
	"20-24 years"	"20-24"	"2010"	"2010"	"Male"	"M"	13924	11014176	126.4
"Total"	"20-24 years"	"20-24"	"2010"	"2010"			18664	21585999	86.5
	"20-24 years"	"20-24"	"2011"	"2011"	"Female"	"F"	4767	10841132	44.0
	"20-24 years"	"20-24"	"2011"	"2011"	"Male"	"M"	14306	11312700	126.5
"Total"	"20-24 years"	"20-24"	"2011"	"2011"			19073	22153832	86.1
	"20-24 years"	"20-24"	"2012"	"2012"	"Female"	"F"	4876	11033747	44.2
	"20-24 years"	"20-24"	"2012"	"2012"	"Male"	"M"	14232	11549456	123.2
"Total"	"20-24 years"	"20-24"	"2012"	"2012"			19108	22583203	84.6
	"20-24 years"	"20-24"	"2013"	"2013"	"Female"	"F"	4901	11116473	44.1
	"20-24 years"	"20-24"	"2013"	"2013"	"Male"	"M"	14105	11678965	120.8
"Total"	"20-24 years"	"20-24"	"2013"	"2013"			19006	22795438	83.4
	"20-24 years"	"20-24"	"2014"	"2014"	"Female"	"F"	4916	11172747	44.0
	"20-24 years"	"20-24"	"2014"	"2014"	"Male"	"M"	14289	11739427	121.7
"Total"	"20-24 years"	"20-24"	"2014"	"2014"			19205	22912174	83.8
	"20-24 years"	"20-24"	"2015"	"2015"	"Female"	"F"	5149	11071459	46.5
	"20-24 years"	"20-24"	"2015"	"2015"	"Male"	"M"	15159	11667854	129.9
"Total"	"20-24 years"	"20-24"	"2015"	"2015"			20308	22739313	89.3
	"20-24 years"	"20-24"	"2016"	"2016"	"Female"	"F"	5463	10889963	50.2
	"20-24 years"	"20-24"	"2016"	"2016"	"Male"	"M"	16300	11491065	141.8
"Total"	"20-24 years"	"20-24"	"2016"	"2016"			21763	22381028	97.2
	"20-24 years"	"20-24"	"2017"	"2017"	"Female"	"F"	5485	10769493	50.9
	"20-24 years"	"20-24"	"2017"	"2017"	"Male"	"M"	15654	11349142	137.9
"Total"	"20-24 years"	"20-24"	"2017"	"2017"			21139	22118635	95.6
	"20-24 years"	"20-24"	"2018"	"2018"	"Female"	"F"	5146	10672032	48.2
	"20-24 years"	"20-24"	"2018"	"2018"	"Male"	"M"	14628	11201547	130.6
"Total"	"20-24 years"	"20-24"	"2018"	"2018"			19774	21873579	90.4
	"20-24 years"	"20-24"	"2019"	"2019"	"Female"	"F"	5126	10568188	48.5
	"20-24 years"	"20-24"	"2019"	"2019"	"Male"	"M"	14387	11064752	130.0
"Total"	"20-24 years"	"20-24"	"2019"	"2019"			19513	21632940	90.2
	"20-24 years"	"20-24"	"2020 "	"2020"	"Female"	"F"	6005	10561909	56.9
	"20-24 years"	"20-24"	"2020 "	"2020"	"Male"	"M"	17533	11032846	158.9
"Total"	"20-24 years"	"20-24"	"2020 "	"2020"			23538	21594755	109.0
"Total"	"20-24 years"	"20-24"					434381	469003448	92.6
	"25-29 years"	"25-29"	"1999"	"1999"	"Female"	"F"	5161	9695967	53.2
	"25-29 years"	"25-29"	"1999"	"1999"	"Male"	"M"	12542	9879090	127.0
"Total"	"25-29 years"	"25-29"	"1999"	"1999"			17703	19575057	90.4
	"25-29 years"	"25-29"	"2000"	"2000"	"Female"	"F"	5062	9582576	52.8
	"25-29 years"	"25-29"	"2000"	"2000"	"Male"	"M"	12619	9798760	128.8
"Total"	"25-29 years"	"25-29"	"2000"	"2000"			17681	19381336	91.2
	"25-29 years"	"25-29"	"2001"	"2001"	"Female"	"F"	5205	9303113	55.9
	"25-29 years"	"25-29"	"2001"	"2001"	"Male"	"M"	13006	9516234	136.7
"Total"	"25-29 years"	"25-29"	"2001"	"2001"			18211	18819347	96.8
	"25-29 years"	"25-29"	"2002"	"2002"	"Female"	"F"	5005	9248586	54.1
	"25-29 years"	"25-29"	"2002"	"2002"	"Male"	"M"	12954	9442754	137.2
"Total"	"25-29 years"	"25-29"	"2002"	"2002"			17959	18691340	96.1
	"25-29 years"	"25-29"	"2003"	"2003"	"Female"	"F"	5207	9307104	55.9
	"25-29 years"	"25-29"	"2003"	"2003"	"Male"	"M"	13043	9464481	137.8
"Total"	"25-29 years"	"25-29"	"2003"	"2003"			18250	18771585	97.2
	"25-29 years"	"25-29"	"2004"	"2004"	"Female"	"F"	5217	9479080	55.0
	"25-29 years"	"25-29"	"2004"	"2004"	"Male"	"M"	13554	9627975	140.8
"Total"	"25-29 years"	"25-29"	"2004"	"2004"			18771	19107055	98.2
	"25-29 years"	"25-29"	"2005"	"2005"	"Female"	"F"	5326	9712544	54.8
	"25-29 years"	"25-29"	"2005"	"2005"	"Male"	"M"	14242	9822166	145.0
"Total"	"25-29 years"	"25-29"	"2005"	"2005"			19568	19534710	100.2
	"25-29 years"	"25-29"	"2006"	"2006"	"Female"	"F"	5716	10014422	57.1
	"25-29 years"	"25-29"	"2006"	"2006"	"Male"	"M"	15181	10095589	150.4
"Total"	"25-29 years"	"25-29"	"2006"	"2006"			20897	20110011	103.9
	"25-29 years"	"25-29"	"2007"	"2007"	"Female"	"F"	5824	10229259	56.9
	"25-29 years"	"25-29"	"2007"	"2007"	"Male"	"M"	15107	10313439	146.5
"Total"	"25-29 years"	"25-29"	"2007"	"2007"			20931	20542698	101.9
	"25-29 years"	"25-29"	"2008"	"2008"	"Female"	"F"	5786	10393532	55.7
	"25-29 years"	"25-29"	"2008"	"2008"	"Male"	"M"	15000	10509136	142.7
"Total"	"25-29 years"	"25-29"	"2008"	"2008"			20786	20902668	99.4
	"25-29 years"	"25-29"	"2009"	"2009"	"Female"	"F"	6041	10466871	57.7
	"25-29 years"	"25-29"	"2009"	"2009"	"Male"	"M"	14571	10611357	137.3
"Total"	"25-29 years"	"25-29"	"2009"	"2009"			20612	21078228	97.8
	"25-29 years"	"25-29"	"2010"	"2010"	"Female"	"F"	5834	10466258	55.7
	"25-29 years"	"25-29"	"2010"	"2010"	"Male"	"M"	14429	10635591	135.7
"Total"	"25-29 years"	"25-29"	"2010"	"2010"			20263	21101849	96.0
	"25-29 years"	"25-29"	"2011"	"2011"	"Female"	"F"	5880	10518279	55.9
	"25-29 years"	"25-29"	"2011"	"2011"	"Male"	"M"	14692	10761515	136.5
"Total"	"25-29 years"	"25-29"	"2011"	"2011"			20572	21279794	96.7
	"25-29 years"	"25-29"	"2012"	"2012"	"Female"	"F"	6041	10553440	57.2
	"25-29 years"	"25-29"	"2012"	"2012"	"Male"	"M"	14951	10844886	137.9
"Total"	"25-29 years"	"25-29"	"2012"	"2012"			20992	21398326	98.1
	"25-29 years"	"25-29"	"2013"	"2013"	"Female"	"F"	6033	10620319	56.8
	"25-29 years"	"25-29"	"2013"	"2013"	"Male"	"M"	15023	10959879	137.1
"Total"	"25-29 years"	"25-29"	"2013"	"2013"			21056	21580198	97.6
	"25-29 years"	"25-29"	"2014"	"2014"	"Female"	"F"	6306	10826549	58.2
	"25-29 years"	"25-29"	"2014"	"2014"	"Male"	"M"	15619	11161389	139.9
"Total"	"25-29 years"	"25-29"	"2014"	"2014"			21925	21987938	99.7
	"25-29 years"	"25-29"	"2015"	"2015"	"Female"	"F"	6725	11052155	60.8
	"25-29 years"	"25-29"	"2015"	"2015"	"Male"	"M"	17173	11409399	150.5
"Total"	"25-29 years"	"25-29"	"2015"	"2015"			23898	22461554	106.4
	"25-29 years"	"25-29"	"2016"	"2016"	"Female"	"F"	7542	11259410	67.0
	"25-29 years"	"25-29"	"2016"	"2016"	"Male"	"M"	19511	11631474	167.7
"Total"	"25-29 years"	"25-29"	"2016"	"2016"			27053	22890884	118.2
	"25-29 years"	"25-29"	"2017"	"2017"	"Female"	"F"	7891	11468230	68.8
	"25-29 years"	"25-29"	"2017"	"2017"	"Male"	"M"	20385	11902230	171.3
"Total"	"25-29 years"	"25-29"	"2017"	"2017"			28276	23370460	121.0
	"25-29 years"	"25-29"	"2018"	"2018"	"Female"	"F"	7832	11542918	67.9
	"25-29 years"	"25-29"	"2018"	"2018"	"Male"	"M"	19629	12018838	163.3
"Total"	"25-29 years"	"25-29"	"2018"	"2018"			27461	23561756	116.5
	"25-29 years"	"25-29"	"2019"	"2019"	"Female"	"F"	7527	11504446	65.4
	"25-29 years"	"25-29"	"2019"	"2019"	"Male"	"M"	19442	12004570	162.0
"Total"	"25-29 years"	"25-29"	"2019"	"2019"			26969	23509016	114.7
	"25-29 years"	"25-29"	"2020 "	"2020"	"Female"	"F"	9142	11356117	80.5
	"25-29 years"	"25-29"	"2020 "	"2020"	"Male"	"M"	23554	11875126	198.3
"Total"	"25-29 years"	"25-29"	"2020 "	"2020"			32696	23231243	140.7
"Total"	"25-29 years"	"25-29"					482530	462887053	104.2
	"30-34 years"	"30-34"	"1999"	"1999"	"Female"	"F"	7629	10249123	74.4
	"30-34 years"	"30-34"	"1999"	"1999"	"Male"	"M"	15734	10354226	152.0
"Total"	"30-34 years"	"30-34"	"1999"	"1999"			23363	20603349	113.4
	"30-34 years"	"30-34"	"2000"	"2000"	"Female"	"F"	7499	10188619	73.6
	"30-34 years"	"30-34"	"2000"	"2000"	"Male"	"M"	15271	10321769	147.9
"Total"	"30-34 years"	"30-34"	"2000"	"2000"			22770	20510388	111.0
	"30-34 years"	"30-34"	"2001"	"2001"	"Female"	"F"	7721	10263930	75.2
	"30-34 years"	"30-34"	"2001"	"2001"	"Male"	"M"	15751	10388245	151.6
"Total"	"30-34 years"	"30-34"	"2001"	"2001"			23472	20652175	113.7
	"30-34 years"	"30-34"	"2002"	"2002"	"Female"	"F"	7614	10270193	74.1
	"30-34 years"	"30-34"	"2002"	"2002"	"Male"	"M"	15782	10388113	151.9
"Total"	"30-34 years"	"30-34"	"2002"	"2002"			23396	20658306	113.3
	"30-34 years"	"30-34"	"2003"	"2003"	"Female"	"F"	7491	10193818	73.5
	"30-34 years"	"30-34"	"2003"	"2003"	"Male"	"M"	15559	10278392	151.4
"Total"	"30-34 years"	"30-34"	"2003"	"2003"			23050	20472210	112.6
	"30-34 years"	"30-34"	"2004"	"2004"	"Female"	"F"	7292	10041145	72.6
	"30-34 years"	"30-34"	"2004"	"2004"	"Male"	"M"	14805	10118356	146.3
"Total"	"30-34 years"	"30-34"	"2004"	"2004"			22097	20159501	109.6
	"30-34 years"	"30-34"	"2005"	"2005"	"Female"	"F"	7316	9835154	74.4
	"30-34 years"	"30-34"	"2005"	"2005"	"Male"	"M"	15041	9888783	152.1
"Total"	"30-34 years"	"30-34"	"2005"	"2005"			22357	19723937	113.3
	"30-34 years"	"30-34"	"2006"	"2006"	"Female"	"F"	7048	9611918	73.3
	"30-34 years"	"30-34"	"2006"	"2006"	"Male"	"M"	15007	9673250	155.1
"Total"	"30-34 years"	"30-34"	"2006"	"2006"			22055	19285168	114.4
	"30-34 years"	"30-34"	"2007"	"2007"	"Female"	"F"	6956	9559334	72.8
	"30-34 years"	"30-34"	"2007"	"2007"	"Male"	"M"	14685	9611431	152.8
"Total"	"30-34 years"	"30-34"	"2007"	"2007"			21641	19170765	112.9
	"30-34 years"	"30-34"	"2008"	"2008"	"Female"	"F"	6854	9625879	71.2
	"30-34 years"	"30-34"	"2008"	"2008"	"Male"	"M"	14635	9678926	151.2
"Total"	"30-34 years"	"30-34"	"2008"	"2008"			21489	19304805	111.3
	"30-34 years"	"30-34"	"2009"	"2009"	"Female"	"F"	7262	9800559	74.1
	"30-34 years"	"30-34"	"2009"	"2009"	"Male"	"M"	14628	9844555	148.6
"Total"	"30-34 years"	"30-34"	"2009"	"2009"			21890	19645114	111.4
	"30-34 years"	"30-34"	"2010"	"2010"	"Female"	"F"	7233	9965599	72.6
	"30-34 years"	"30-34"	"2010"	"2010"	"Male"	"M"	14763	9996500	147.7
"Total"	"30-34 years"	"30-34"	"2010"	"2010"			21996	19962099	110.2
	"30-34 years"	"30-34"	"2011"	"2011"	"Female"	"F"	7783	10228056	76.1
	"30-34 years"	"30-34"	"2011"	"2011"	"Male"	"M"	15393	10282648	149.7
"Total"	"30-34 years"	"30-34"	"2011"	"2011"			23176	20510704	113.0
	"30-34 years"	"30-34"	"2012"	"2012"	"Female"	"F"	7767	10417089	74.6
	"30-34 years"	"30-34"	"2012"	"2012"	"Male"	"M"	15832	10493906	150.9
"Total"	"30-34 years"	"30-34"	"2012"	"2012"			23599	20910995	112.9
	"30-34 years"	"30-34"	"2013"	"2013"	"Female"	"F"	7968	10582777	75.3
	"30-34 years"	"30-34"	"2013"	"2013"	"Male"	"M"	16439	10681612	153.9
"Total"	"30-34 years"	"30-34"	"2013"	"2013"			24407	21264389	114.8
	"30-34 years"	"30-34"	"2014"	"2014"	"Female"	"F"	8174	10719741	76.3
	"30-34 years"	"30-34"	"2014"	"2014"	"Male"	"M"	17078	10808825	158.0
"Total"	"30-34 years"	"30-34"	"2014"	"2014"			25252	21528566	117.3
	"30-34 years"	"30-34"	"2015"	"2015"	"Female"	"F"	9011	10785909	83.5
	"30-34 years"	"30-34"	"2015"	"2015"	"Male"	"M"	18608	10889739	170.9
"Total"	"30-34 years"	"30-34"	"2015"	"2015"			27619	21675648	127.4
	"30-34 years"	"30-34"	"2016"	"2016"	"Female"	"F"	9817	10818095	90.7
	"30-34 years"	"30-34"	"2016"	"2016"	"Male"	"M"	20746	10968264	189.1
"Total"	"30-34 years"	"30-34"	"2016"	"2016"			30563	21786359	140.3
	"30-34 years"	"30-34"	"2017"	"2017"	"Female"	"F"	10175	10883081	93.5
	"30-34 years"	"30-34"	"2017"	"2017"	"Male"	"M"	21764	11089131	196.3
"Total"	"30-34 years"	"30-34"	"2017"	"2017"			31939	21972212	145.4
	"30-34 years"	"30-34"	"2018"	"2018"	"Female"	"F"	10148	10944147	92.7
	"30-34 years"	"30-34"	"2018"	"2018"	"Male"	"M"	21235	11191871	189.7
"Total"	"30-34 years"	"30-34"	"2018"	"2018"			31383	22136018	141.8
	"30-34 years"	"30-34"	"2019"	"2019"	"Female"	"F"	10300	11076695	93.0
	"30-34 years"	"30-34"	"2019"	"2019"	"Male"	"M"	21909	11354610	193.0
"Total"	"30-34 years"	"30-34"	"2019"	"2019"			32209	22431305	143.6
	"30-34 years"	"30-34"	"2020 "	"2020"	"Female"	"F"	12512	11269150	111.0
	"30-34 years"	"30-34"	"2020 "	"2020"	"Male"	"M"	28278	11569253	244.4
"Total"	"30-34 years"	"30-34"	"2020 "	"2020"			40790	22838403	178.6
"Total"	"30-34 years"	"30-34"					560513	457202416	122.6
	"35-39 years"	"35-39"	"1999"	"1999"	"Female"	"F"	13123	11474154	114.4
	"35-39 years"	"35-39"	"1999"	"1999"	"Male"	"M"	23681	11408395	207.6
"Total"	"35-39 years"	"35-39"	"1999"	"1999"			36804	22882549	160.8
	"35-39 years"	"35-39"	"2000"	"2000"	"Female"	"F"	12888	11387968	113.2
	"35-39 years"	"35-39"	"2000"	"2000"	"Male"	"M"	23252	11318696	205.4
"Total"	"35-39 years"	"35-39"	"2000"	"2000"			36140	22706664	159.2
	"35-39 years"	"35-39"	"2001"	"2001"	"Female"	"F"	13168	11141510	118.2
	"35-39 years"	"35-39"	"2001"	"2001"	"Male"	"M"	23727	11094408	213.9
"Total"	"35-39 years"	"35-39"	"2001"	"2001"			36895	22235918	165.9
	"35-39 years"	"35-39"	"2002"	"2002"	"Female"	"F"	12721	10903446	116.7
	"35-39 years"	"35-39"	"2002"	"2002"	"Male"	"M"	22626	10847772	208.6
"Total"	"35-39 years"	"35-39"	"2002"	"2002"			35347	21751218	162.5
	"35-39 years"	"35-39"	"2003"	"2003"	"Female"	"F"	12314	10660101	115.5
	"35-39 years"	"35-39"	"2003"	"2003"	"Male"	"M"	21741	10604058	205.0
"Total"	"35-39 years"	"35-39"	"2003"	"2003"			34055	21264159	160.2
	"35-39 years"	"35-39"	"2004"	"2004"	"Female"	"F"	11459	10453320	109.6
	"35-39 years"	"35-39"	"2004"	"2004"	"Male"	"M"	20485	10421329	196.6
"Total"	"35-39 years"	"35-39"	"2004"	"2004"			31944	20874649	153.0
	"35-39 years"	"35-39"	"2005"	"2005"	"Female"	"F"	11409	10411620	109.6
	"35-39 years"	"35-39"	"2005"	"2005"	"Male"	"M"	20011	10387033	192.7
"Total"	"35-39 years"	"35-39"	"2005"	"2005"			31420	20798653	151.1
	"35-39 years"	"35-39"	"2006"	"2006"	"Female"	"F"	11368	10489448	108.4
	"35-39 years"	"35-39"	"2006"	"2006"	"Male"	"M"	20131	10451785	192.6
"Total"	"35-39 years"	"35-39"	"2006"	"2006"			31499	20941233	150.4
	"35-39 years"	"35-39"	"2007"	"2007"	"Female"	"F"	11126	10502839	105.9
	"35-39 years"	"35-39"	"2007"	"2007"	"Male"	"M"	19755	10461052	188.8
"Total"	"35-39 years"	"35-39"	"2007"	"2007"			30881	20963891	147.3
	"35-39 years"	"35-39"	"2008"	"2008"	"Female"	"F"	10760	10437809	103.1
	"35-39 years"	"35-39"	"2008"	"2008"	"Male"	"M"	19104	10379654	184.1
"Total"	"35-39 years"	"35-39"	"2008"	"2008"			29864	20817463	143.5
	"35-39 years"	"35-39"	"2009"	"2009"	"Female"	"F"	10729	10292169	104.2
	"35-39 years"	"35-39"	"2009"	"2009"	"Male"	"M"	18781	10215627	183.8
"Total"	"35-39 years"	"35-39"	"2009"	"2009"			29510	20507796	143.9
	"35-39 years"	"35-39"	"2010"	"2010"	"Female"	"F"	10398	10137620	102.6
	"35-39 years"	"35-39"	"2010"	"2010"	"Male"	"M"	17614	10042022	175.4
"Total"	"35-39 years"	"35-39"	"2010"	"2010"			28012	20179642	138.8
	"35-39 years"	"35-39"	"2011"	"2011"	"Female"	"F"	10125	9832998	103.0
	"35-39 years"	"35-39"	"2011"	"2011"	"Male"	"M"	17353	9761311	177.8
"Total"	"35-39 years"	"35-39"	"2011"	"2011"			27478	19594309	140.2
	"35-39 years"	"35-39"	"2012"	"2012"	"Female"	"F"	10004	9773586	102.4
	"35-39 years"	"35-39"	"2012"	"2012"	"Male"	"M"	17368	9714613	178.8
"Total"	"35-39 years"	"35-39"	"2012"	"2012"			27372	19488199	140.5
	"35-39 years"	"35-39"	"2013"	"2013"	"Female"	"F"	10277	9818501	104.7
	"35-39 years"	"35-39"	"2013"	"2013"	"Male"	"M"	17544	9785269	179.3
"Total"	"35-39 years"	"35-39"	"2013"	"2013"			27821	19603770	141.9
	"35-39 years"	"35-39"	"2014"	"2014"	"Female"	"F"	10825	9981814	108.4
	"35-39 years"	"35-39"	"2014"	"2014"	"Male"	"M"	18500	9939836	186.1
"Total"	"35-39 years"	"35-39"	"2014"	"2014"			29325	19921650	147.2
	"35-39 years"	"35-39"	"2015"	"2015"	"Female"	"F"	11227	10201161	110.1
	"35-39 years"	"35-39"	"2015"	"2015"	"Male"	"M"	20190	10173424	198.5
"Total"	"35-39 years"	"35-39"	"2015"	"2015"			31417	20374585	154.2
	"35-39 years"	"35-39"	"2016"	"2016"	"Female"	"F"	12468	10397463	119.9
	"35-39 years"	"35-39"	"2016"	"2016"	"Male"	"M"	22809	10376442	219.8
"Total"	"35-39 years"	"35-39"	"2016"	"2016"			35277	20773905	169.8
	"35-39 years"	"35-39"	"2017"	"2017"	"Female"	"F"	12796	10616012	120.5
	"35-39 years"	"35-39"	"2017"	"2017"	"Male"	"M"	24105	10615985	227.1
"Total"	"35-39 years"	"35-39"	"2017"	"2017"			36901	21231997	173.8
	"35-39 years"	"35-39"	"2018"	"2018"	"Female"	"F"	13094	10773397	121.5
	"35-39 years"	"35-39"	"2018"	"2018"	"Male"	"M"	24523	10790190	227.3
"Total"	"35-39 years"	"35-39"	"2018"	"2018"			37617	21563587	174.4
	"35-39 years"	"35-39"	"2019"	"2019"	"Female"	"F"	13397	10852580	123.4
	"35-39 years"	"35-39"	"2019"	"2019"	"Male"	"M"	25241	10884941	231.9
"Total"	"35-39 years"	"35-39"	"2019"	"2019"			38638	21737521	177.7
	"35-39 years"	"35-39"	"2020 "	"2020"	"Female"	"F"	16015	10890716	147.1
	"35-39 years"	"35-39"	"2020 "	"2020"	"Male"	"M"	32066	10937588	293.2
"Total"	"35-39 years"	"35-39"	"2020 "	"2020"			48081	21828304	220.3
"Total"	"35-39 years"	"35-39"					732298	462041662	158.5
	"40-44 years"	"40-44"	"1999"	"1999"	"Female"	"F"	19015	11195450	169.8
	"40-44 years"	"40-44"	"1999"	"1999"	"Male"	"M"	33437	10998678	304.0
"Total"	"40-44 years"	"40-44"	"1999"	"1999"			52452	22194128	236.3
	"40-44 years"	"40-44"	"2000"	"2000"	"Female"	"F"	19613	11312761	173.4
	"40-44 years"	"40-44"	"2000"	"2000"	"Male"	"M"	34045	11129102	305.9
"Total"	"40-44 years"	"40-44"	"2000"	"2000"			53658	22441863	239.1
	"40-44 years"	"40-44"	"2001"	"2001"	"Female"	"F"	20342	11500919	176.9
	"40-44 years"	"40-44"	"2001"	"2001"	"Male"	"M"	34437	11314915	304.4
"Total"	"40-44 years"	"40-44"	"2001"	"2001"			54779	22815834	240.1
	"40-44 years"	"40-44"	"2002"	"2002"	"Female"	"F"	20826	11536009	180.5
	"40-44 years"	"40-44"	"2002"	"2002"	"Male"	"M"	34967	11353422	308.0
"Total"	"40-44 years"	"40-44"	"2002"	"2002"			55793	22889431	243.8
	"40-44 years"	"40-44"	"2003"	"2003"	"Female"	"F"	20712	11546602	179.4
	"40-44 years"	"40-44"	"2003"	"2003"	"Male"	"M"	34694	11343445	305.9
"Total"	"40-44 years"	"40-44"	"2003"	"2003"			55406	22890047	242.1
	"40-44 years"	"40-44"	"2004"	"2004"	"Female"	"F"	20226	11562414	174.9
	"40-44 years"	"40-44"	"2004"	"2004"	"Male"	"M"	33192	11363212	292.1
"Total"	"40-44 years"	"40-44"	"2004"	"2004"			53418	22925626	233.0
	"40-44 years"	"40-44"	"2005"	"2005"	"Female"	"F"	20067	11453723	175.2
	"40-44 years"	"40-44"	"2005"	"2005"	"Male"	"M"	33298	11253162	295.9
"Total"	"40-44 years"	"40-44"	"2005"	"2005"			53365	22706885	235.0
	"40-44 years"	"40-44"	"2006"	"2006"	"Female"	"F"	19525	11238163	173.7
	"40-44 years"	"40-44"	"2006"	"2006"	"Male"	"M"	32019	11064405	289.4
"Total"	"40-44 years"	"40-44"	"2006"	"2006"			51544	22302568	231.1
	"40-44 years"	"40-44"	"2007"	"2007"	"Female"	"F"	18375	10999163	167.1
	"40-44 years"	"40-44"	"2007"	"2007"	"Male"	"M"	30350	10833176	280.2
"Total"	"40-44 years"	"40-44"	"2007"	"2007"			48725	21832339	223.2
	"40-44 years"	"40-44"	"2008"	"2008"	"Female"	"F"	17924	10757924	166.6
	"40-44 years"	"40-44"	"2008"	"2008"	"Male"	"M"	28582	10617099	269.2
"Total"	"40-44 years"	"40-44"	"2008"	"2008"			46506	21375023	217.6
	"40-44 years"	"40-44"	"2009"	"2009"	"Female"	"F"	17381	10549441	164.8
	"40-44 years"	"40-44"	"2009"	"2009"	"Male"	"M"	27774	10430574	266.3
"Total"	"40-44 years"	"40-44"	"2009"	"2009"			45155	20980015	215.2
	"40-44 years"	"40-44"	"2010"	"2010"	"Female"	"F"	16201	10496987	154.3
	"40-44 years"	"40-44"	"2010"	"2010"	"Male"	"M"	25820	10393977	248.4
"Total"	"40-44 years"	"40-44"	"2010"	"2010"			42021	20890964	201.1
	"40-44 years"	"40-44"	"2011"	"2011"	"Female"	"F"	16553	10571486	156.6
	"40-44 years"	"40-44"	"2011"	"2011"	"Male"	"M"	25862	10462159	247.2
"Total"	"40-44 years"	"40-44"	"2011"	"2011"			42415	21033645	201.7
