"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
"Total"	"1-4 years"	"1-4"	"2001"	"2001"			5107	15285559	33.4
	"1-4 years"	"1-4"	"2002"	"2002"	"Female"	"F"	2052	7564711	27.1
	"1-4 years"	"1-4"	"2002"	"2002"	"Male"	"M"	2806	7913020	35.5
"Total"	"1-4 years"	"1-4"	"2002"	"2002"			4858	15477731	31.4
	"1-4 years"	"1-4"	"2003"	"2003"	"Female"	"F"	2139	7636693	28.0
	"1-4 years"	"1-4"	"2003"	"2003"	"Male"	"M"	2826	7979882	35.4
"Total"	"1-4 years"	"1-4"	"2003"	"2003"			4965	15616575	31.8
	"1-4 years"	"1-4"	"2004"	"2004"	"Female"	"F"	2136	7713175	27.7
	"1-4 years"	"1-4"	"2004"	"2004"	"Male"	"M"	2649	8058452	32.9
"Total"	"1-4 years"	"1-4"	"2004"	"2004"			4785	15771627	30.3
	"1-4 years"	"1-4"	"2005"	"2005"	"Female"	"F"	1991	7785123	25.6
	"1-4 years"	"1-4"	"2005"	"2005"	"Male"	"M"	2765	8127884	34.0
"Total"	"1-4 years"	"1-4"	"2005"	"2005"			4756	15913007	29.9
	"1-4 years"	"1-4"	"2006"	"2006"	"Female"	"F"	2090	7775092	26.9
	"1-4 years"	"1-4"	"2006"	"2006"	"Male"	"M"	2541	8122053	31.3
"Total"	"1-4 years"	"1-4"	"2006"	"2006"			4631	15897145	29.1
	"1-4 years"	"1-4"	"2007"	"2007"	"Female"	"F"	2069	7813088	26.5
	"1-4 years"	"1-4"	"2007"	"2007"	"Male"	"M"	2634	8164877	32.3
"Total"	"1-4 years"	"1-4"	"2007"	"2007"			4703	15977965	29.4
	"1-4 years"	"1-4"	"2008"	"2008"	"Female"	"F"	2037	7891294	25.8
	"1-4 years"	"1-4"	"2008"	"2008"	"Male"	"M"	2693	8247098	32.7
"Total"	"1-4 years"	"1-4"	"2008"	"2008"			4730	16138392	29.3
	"1-4 years"	"1-4"	"2009"	"2009"	"Female"	"F"	1955	7943260	24.6
	"1-4 years"	"1-4"	"2009"	"2009"	"Male"	"M"	2495	8297671	30.1
"Total"	"1-4 years"	"1-4"	"2009"	"2009"			4450	16240931	27.4
	"1-4 years"	"1-4"	"2010"	"2010"	"Female"	"F"	1856	7952058	23.3
	"1-4 years"	"1-4"	"2010"	"2010"	"Male"	"M"	2460	8305151	29.6
"Total"	"1-4 years"	"1-4"	"2010"	"2010"			4316	16257209	26.5
	"1-4 years"	"1-4"	"2011"	"2011"	"Female"	"F"	1841	7909731	23.3
	"1-4 years"	"1-4"	"2011"	"2011"	"Male"	"M"	2405	8255790	29.1
"Total"	"1-4 years"	"1-4"	"2011"	"2011"			4246	16165521	26.3
	"1-4 years"	"1-4"	"2012"	"2012"	"Female"	"F"	1823	7856870	23.2
	"1-4 years"	"1-4"	"2012"	"2012"	"Male"	"M"	2395	8199397	29.2
"Total"	"1-4 years"	"1-4"	"2012"	"2012"			4218	16056267	26.3
	"1-4 years"	"1-4"	"2013"	"2013"	"Female"	"F"	1745	7790614	22.4
	"1-4 years"	"1-4"	"2013"	"2013"	"Male"	"M"	2323	8135691	28.6
"Total"	"1-4 years"	"1-4"	"2013"	"2013"			4068	15926305	25.5
	"1-4 years"	"1-4"	"2014"	"2014"	"Female"	"F"	1658	7790662	21.3
	"1-4 years"	"1-4"	"2014"	"2014"	"Male"	"M"	2172	8137871	26.7
"Total"	"1-4 years"	"1-4"	"2014"	"2014"			3830	15928533	24.0
	"1-4 years"	"1-4"	"2015"	"2015"	"Female"	"F"	1684	7786776	21.6
	"1-4 years"	"1-4"	"2015"	"2015"	"Male"	"M"	2281	8142467	28.0
"Total"	"1-4 years"	"1-4"	"2015"	"2015"			3965	15929243	24.9
	"1-4 years"	"1-4"	"2016"	"2016"	"Female"	"F"	1789	7800517	22.9
	"1-4 years"	"1-4"	"2016"	"2016"	"Male"	"M"	2256	8156375	27.7
"Total"	"1-4 years"	"1-4"	"2016"	"2016"			4045	15956892	25.3
	"1-4 years"	"1-4"	"2017"	"2017"	"Female"	"F"	1648	7818747	21.1
	"1-4 years"	"1-4"	"2017"	"2017"	"Male"	"M"	2232	8180818	27.3
"Total"	"1-4 years"	"1-4"	"2017"	"2017"			3880	15999565	24.3
	"1-4 years"	"1-4"	"2018"	"2018"	"Female"	"F"	1587	7798370	20.4
	"1-4 years"	"1-4"	"2018"	"2018"	"Male"	"M"	2243	8163697	27.5
"Total"	"1-4 years"	"1-4"	"2018"	"2018"			3830	15962067	24.0
	"1-4 years"	"1-4"	"2019"	"2019"	"Female"	"F"	1635	7719541	21.2
	"1-4 years"	"1-4"	"2019"	"2019"	"Male"	"M"	2041	8074090	25.3
"Total"	"1-4 years"	"1-4"	"2019"	"2019"			3676	15793631	23.3
	"1-4 years"	"1-4"	"2020 "	"2020"	"Female"	"F"	1503	7613266	19.7
	"1-4 years"	"1-4"	"2020 "	"2020"	"Male"	"M"	2026	7953016	25.5
"Total"	"1-4 years"	"1-4"	"2020 "	"2020"			3529	15566282	22.7
"Total"	"1-4 years"	"1-4"					96816	348570379	27.8
	"5-9 years"	"5-9"	"1999"	"1999"	"Female"	"F"	1510	10052618	15.0
	"5-9 years"	"5-9"	"1999"	"1999"	"Male"	"M"	1964	10553842	18.6
"Total"	"5-9 years"	"5-9"	"1999"	"1999"			3474	20606460	16.9
	"5-9 years"	"5-9"	"2000"	"2000"	"Female"	"F"	1403	10026228	14.0
	"5-9 years"	"5-9"	"2000"	"2000"	"Male"	"M"	1850	10523277	17.6
"Total"	"5-9 years"	"5-9"	"2000"	"2000"			3253	20549505	15.8
	"5-9 years"	"5-9"	"2001"	"2001"	"Female"	"F"	1366	9844298	13.9
	"5-9 years"	"5-9"	"2001"	"2001"	"Male"	"M"	1727	10329064	16.7
"Total"	"5-9 years"	"5-9"	"2001"	"2001"			3093	20173362	15.3
	"5-9 years"	"5-9"	"2002"	"2002"	"Female"	"F"	1316	9699735	13.6
	"5-9 years"	"5-9"	"2002"	"2002"	"Male"	"M"	1702	10172682	16.7
"Total"	"5-9 years"	"5-9"	"2002"	"2002"			3018	19872417	15.2
	"5-9 years"	"5-9"	"2003"	"2003"	"Female"	"F"	1258	9581247	13.1
	"5-9 years"	"5-9"	"2003"	"2003"	"Male"	"M"	1640	10039604	16.3
"Total"	"5-9 years"	"5-9"	"2003"	"2003"			2898	19620851	14.8
	"5-9 years"	"5-9"	"2004"	"2004"	"Female"	"F"	1243	9503231	13.1
	"5-9 years"	"5-9"	"2004"	"2004"	"Male"	"M"	1645	9951006	16.5
"Total"	"5-9 years"	"5-9"	"2004"	"2004"			2888	19454237	14.8
	"5-9 years"	"5-9"	"2005"	"2005"	"Female"	"F"	1281	9473900	13.5
	"5-9 years"	"5-9"	"2005"	"2005"	"Male"	"M"	1556	9915167	15.7
"Total"	"5-9 years"	"5-9"	"2005"	"2005"			2837	19389067	14.6
	"5-9 years"	"5-9"	"2006"	"2006"	"Female"	"F"	1184	9555173	12.4
	"5-9 years"	"5-9"	"2006"	"2006"	"Male"	"M"	1551	9989515	15.5
"Total"	"5-9 years"	"5-9"	"2006"	"2006"			2735	19544688	14.0
	"5-9 years"	"5-9"	"2007"	"2007"	"Female"	"F"	1192	9640683	12.4
	"5-9 years"	"5-9"	"2007"	"2007"	"Male"	"M"	1519	10073928	15.1
"Total"	"5-9 years"	"5-9"	"2007"	"2007"			2711	19714611	13.8
	"5-9 years"	"5-9"	"2008"	"2008"	"Female"	"F"	1106	9748488	11.3
	"5-9 years"	"5-9"	"2008"	"2008"	"Male"	"M"	1396	10181114	13.7
"Total"	"5-9 years"	"5-9"	"2008"	"2008"			2502	19929602	12.6
	"5-9 years"	"5-9"	"2009"	"2009"	"Female"	"F"	1125	9874744	11.4
	"5-9 years"	"5-9"	"2009"	"2009"	"Male"	"M"	1398	10307755	13.6
"Total"	"5-9 years"	"5-9"	"2009"	"2009"			2523	20182499	12.5
	"5-9 years"	"5-9"	"2010"	"2010"	"Female"	"F"	1005	9959019	10.1
	"5-9 years"	"5-9"	"2010"	"2010"	"Male"	"M"	1325	10389638	12.8
"Total"	"5-9 years"	"5-9"	"2010"	"2010"			2330	20348657	11.5
	"5-9 years"	"5-9"	"2011"	"2011"	"Female"	"F"	1071	9950009	10.8
	"5-9 years"	"5-9"	"2011"	"2011"	"Male"	"M"	1380	10384187	13.3
"Total"	"5-9 years"	"5-9"	"2011"	"2011"			2451	20334196	12.1
	"5-9 years"	"5-9"	"2012"	"2012"	"Female"	"F"	1014	10016343	10.1
	"5-9 years"	"5-9"	"2012"	"2012"	"Male"	"M"	1320	10459193	12.6
"Total"	"5-9 years"	"5-9"	"2012"	"2012"			2334	20475536	11.4
	"5-9 years"	"5-9"	"2013"	"2013"	"Female"	"F"	1044	10061607	10.4
	"5-9 years"	"5-9"	"2013"	"2013"	"Male"	"M"	1383	10508974	13.2
"Total"	"5-9 years"	"5-9"	"2013"	"2013"			2427	20570581	11.8
	"5-9 years"	"5-9"	"2014"	"2014"	"Female"	"F"	1000	10041137	10.0
	"5-9 years"	"5-9"	"2014"	"2014"	"Male"	"M"	1357	10478429	13.0
"Total"	"5-9 years"	"5-9"	"2014"	"2014"			2357	20519566	11.5
	"5-9 years"	"5-9"	"2015"	"2015"	"Female"	"F"	1025	10028044	10.2
	"5-9 years"	"5-9"	"2015"	"2015"	"Male"	"M"	1377	10459132	13.2
"Total"	"5-9 years"	"5-9"	"2015"	"2015"			2402	20487176	11.7
	"5-9 years"	"5-9"	"2016"	"2016"	"Female"	"F"	1113	9999876	11.1
	"5-9 years"	"5-9"	"2016"	"2016"	"Male"	"M"	1377	10429923	13.2
"Total"	"5-9 years"	"5-9"	"2016"	"2016"			2490	20429799	12.2
	"5-9 years"	"5-9"	"2017"	"2017"	"Female"	"F"	1055	9936097	10.6
	"5-9 years"	"5-9"	"2017"	"2017"	"Male"	"M"	1299	10368141	12.5
"Total"	"5-9 years"	"5-9"	"2017"	"2017"			2354	20304238	11.6
	"5-9 years"	"5-9"	"2018"	"2018"	"Female"	"F"	1044	9879652	10.6
	"5-9 years"	"5-9"	"2018"	"2018"	"Male"	"M"	1286	10315990	12.5
"Total"	"5-9 years"	"5-9"	"2018"	"2018"			2330	20195642	11.5
	"5-9 years"	"5-9"	"2019"	"2019"	"Female"	"F"	1043	9873133	10.6
	"5-9 years"	"5-9"	"2019"	"2019"	"Male"	"M"	1290	10322762	12.5
"Total"	"5-9 years"	"5-9"	"2019"	"2019"			2333	20195895	11.6
	"5-9 years"	"5-9"	"2020 "	"2020"	"Female"	"F"	965	9890958	9.8
	"5-9 years"	"5-9"	"2020 "	"2020"	"Male"	"M"	1245	10346753	12.0
"Total"	"5-9 years"	"5-9"	"2020 "	"2020"			2210	20237711	10.9
"Total"	"5-9 years"	"5-9"					57950	443136296	13.1
	"10-14 years"	"10-14"	"1999"	"1999"	"Female"	"F"	1593	9855664	16.2
	"10-14 years"	"10-14"	"1999"	"1999"	"Male"	"M"	2528	10357700	24.4
"Total"	"10-14 years"	"10-14"	"1999"	"1999"			4121	20213364	20.4
	"10-14 years"	"10-14"	"2000"	"2000"	"Female"	"F"	1609	10007875	16.1
	"10-14 years"	"10-14"	"2000"	"2000"	"Male"	"M"	2551	10520197	24.2
"Total"	"10-14 years"	"10-14"	"2000"	"2000"			4160	20528072	20.3
	"10-14 years"	"10-14"	"2001"	"2001"	"Female"	"F"	1561	10231469	15.3
	"10-14 years"	"10-14"	"2001"	"2001"	"Male"	"M"	2441	10747209	22.7
"Total"	"10-14 years"	"10-14"	"2001"	"2001"			4002	20978678	19.1
	"10-14 years"	"10-14"	"2002"	"2002"	"Female"	"F"	1636	10371422	15.8
	"10-14 years"	"10-14"	"2002"	"2002"	"Male"	"M"	2496	10889999	22.9
"Total"	"10-14 years"	"10-14"	"2002"	"2002"			4132	21261421	19.4
	"10-14 years"	"10-14"	"2003"	"2003"	"Female"	"F"	1546	10444875	14.8
	"10-14 years"	"10-14"	"2003"	"2003"	"Male"	"M"	2510	10970478	22.9
"Total"	"10-14 years"	"10-14"	"2003"	"2003"			4056	21415353	18.9
	"10-14 years"	"10-14"	"2004"	"2004"	"Female"	"F"	1592	10443706	15.2
	"10-14 years"	"10-14"	"2004"	"2004"	"Male"	"M"	2354	10967974	21.5
"Total"	"10-14 years"	"10-14"	"2004"	"2004"			3946	21411680	18.4
	"10-14 years"	"10-14"	"2005"	"2005"	"Female"	"F"	1468	10348382	14.2
	"10-14 years"	"10-14"	"2005"	"2005"	"Male"	"M"	2297	10864197	21.1
"Total"	"10-14 years"	"10-14"	"2005"	"2005"			3765	21212579	17.7
	"10-14 years"	"10-14"	"2006"	"2006"	"Female"	"F"	1340	10261944	13.1
	"10-14 years"	"10-14"	"2006"	"2006"	"Male"	"M"	2074	10771194	19.3
"Total"	"10-14 years"	"10-14"	"2006"	"2006"			3414	21033138	16.2
	"10-14 years"	"10-14"	"2007"	"2007"	"Female"	"F"	1370	10170082	13.5
	"10-14 years"	"10-14"	"2007"	"2007"	"Male"	"M"	2066	10670960	19.4
"Total"	"10-14 years"	"10-14"	"2007"	"2007"			3436	20841042	16.5
	"10-14 years"	"10-14"	"2008"	"2008"	"Female"	"F"	1265	10108474	12.5
	"10-14 years"	"10-14"	"2008"	"2008"	"Male"	"M"	1884	10598181	17.8
"Total"	"10-14 years"	"10-14"	"2008"	"2008"			3149	20706655	15.2
	"10-14 years"	"10-14"	"2009"	"2009"	"Female"	"F"	1278	10088732	12.7
	"10-14 years"	"10-14"	"2009"	"2009"	"Male"	"M"	1850	10571832	17.5
"Total"	"10-14 years"	"10-14"	"2009"	"2009"			3128	20660564	15.1
	"10-14 years"	"10-14"	"2010"	"2010"	"Female"	"F"	1220	10097332	12.1
	"10-14 years"	"10-14"	"2010"	"2010"	"Male"	"M"	1729	10579862	16.3
"Total"	"10-14 years"	"10-14"	"2010"	"2010"			2949	20677194	14.3
	"10-14 years"	"10-14"	"2011"	"2011"	"Female"	"F"	1151	10117822	11.4
	"10-14 years"	"10-14"	"2011"	"2011"	"Male"	"M"	1799	10587030	17.0
"Total"	"10-14 years"	"10-14"	"2011"	"2011"			2950	20704852	14.2
	"10-14 years"	"10-14"	"2012"	"2012"	"Female"	"F"	1150	10102004	11.4
	"10-14 years"	"10-14"	"2012"	"2012"	"Male"	"M"	1716	10567214	16.2
"Total"	"10-14 years"	"10-14"	"2012"	"2012"			2866	20669218	13.9
	"10-14 years"	"10-14"	"2013"	"2013"	"Female"	"F"	1219	10097931	12.1
	"10-14 years"	"10-14"	"2013"	"2013"	"Male"	"M"	1694	10552523	16.1
"Total"	"10-14 years"	"10-14"	"2013"	"2013"			2913	20650454	14.1
	"10-14 years"	"10-14"	"2014"	"2014"	"Female"	"F"	1122	10120287	11.1
