"Notes"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"2002"	"2002"	"80-84 years"	"80-84"	125	3295412	3.8
	"Female"	"F"	"2002"	"2002"	"85-89 years"	"85-89"	97	Not Applicable	Not Applicable
	"Female"	"F"	"2002"	"2002"	"90-94 years"	"90-94"	51	Not Applicable	Not Applicable
	"Female"	"F"	"2003"	"2003"	"1-4 years"	"1-4"	14	7636693	Unreliable
	"Female"	"F"	"2003"	"2003"	"10-14 years"	"10-14"	14	10444875	Unreliable
	"Female"	"F"	"2003"	"2003"	"15-19 years"	"15-19"	192	10086567	1.9
	"Female"	"F"	"2003"	"2003"	"20-24 years"	"20-24"	472	10093723	4.7
	"Female"	"F"	"2003"	"2003"	"25-29 years"	"25-29"	578	9307104	6.2
	"Female"	"F"	"2003"	"2003"	"30-34 years"	"30-34"	906	10193818	8.9
	"Female"	"F"	"2003"	"2003"	"35-39 years"	"35-39"	1369	10660101	12.8
	"Female"	"F"	"2003"	"2003"	"40-44 years"	"40-44"	1916	11546602	16.6
	"Female"	"F"	"2003"	"2003"	"45-49 years"	"45-49"	1815	11017265	16.5
	"Female"	"F"	"2003"	"2003"	"50-54 years"	"50-54"	1206	9759654	12.4
	"Female"	"F"	"2003"	"2003"	"55-59 years"	"55-59"	663	8141956	8.1
	"Female"	"F"	"2003"	"2003"	"60-64 years "	"60-64"	310	6377463	4.9
	"Female"	"F"	"2003"	"2003"	"65-69 years"	"65-69"	207	5253706	3.9
	"Female"	"F"	"2003"	"2003"	"70-74 years"	"70-74"	164	4794496	3.4
	"Female"	"F"	"2003"	"2003"	"75-79 years"	"75-79"	143	4365982	3.3
	"Female"	"F"	"2003"	"2003"	"80-84 years"	"80-84"	141	3347175	4.2
	"Female"	"F"	"2003"	"2003"	"85-89 years"	"85-89"	115	Not Applicable	Not Applicable
	"Female"	"F"	"2003"	"2003"	"90-94 years"	"90-94"	44	Not Applicable	Not Applicable
	"Female"	"F"	"2004"	"2004"	"< 1 year"	"1"	19	1962216	Unreliable
	"Female"	"F"	"2004"	"2004"	"10-14 years"	"10-14"	30	10443706	0.3
	"Female"	"F"	"2004"	"2004"	"15-19 years"	"15-19"	215	10242793	2.1
	"Female"	"F"	"2004"	"2004"	"20-24 years"	"20-24"	511	10190641	5.0
	"Female"	"F"	"2004"	"2004"	"25-29 years"	"25-29"	644	9479080	6.8
	"Female"	"F"	"2004"	"2004"	"30-34 years"	"30-34"	863	10041145	8.6
	"Female"	"F"	"2004"	"2004"	"35-39 years"	"35-39"	1380	10453320	13.2
	"Female"	"F"	"2004"	"2004"	"40-44 years"	"40-44"	2111	11562414	18.3
	"Female"	"F"	"2004"	"2004"	"45-49 years"	"45-49"	2124	11184506	19.0
	"Female"	"F"	"2004"	"2004"	"50-54 years"	"50-54"	1369	9999623	13.7
	"Female"	"F"	"2004"	"2004"	"55-59 years"	"55-59"	776	8547949	9.1
	"Female"	"F"	"2004"	"2004"	"60-64 years "	"60-64"	379	6637798	5.7
	"Female"	"F"	"2004"	"2004"	"65-69 years"	"65-69"	216	5370418	4.0
	"Female"	"F"	"2004"	"2004"	"70-74 years"	"70-74"	176	4739945	3.7
	"Female"	"F"	"2004"	"2004"	"75-79 years"	"75-79"	189	4321319	4.4
	"Female"	"F"	"2004"	"2004"	"80-84 years"	"80-84"	152	3417423	4.4
	"Female"	"F"	"2004"	"2004"	"85-89 years"	"85-89"	97	Not Applicable	Not Applicable
	"Female"	"F"	"2004"	"2004"	"90-94 years"	"90-94"	58	Not Applicable	Not Applicable
	"Female"	"F"	"2004"	"2004"	"95-99 years"	"95-99"	14	Not Applicable	Not Applicable
	"Female"	"F"	"2005"	"2005"	"< 1 year"	"1"	17	1956682	Unreliable
	"Female"	"F"	"2005"	"2005"	"10-14 years"	"10-14"	20	10348382	0.2
	"Female"	"F"	"2005"	"2005"	"15-19 years"	"15-19"	205	10434789	2.0
	"Female"	"F"	"2005"	"2005"	"20-24 years"	"20-24"	571	10222806	5.6
	"Female"	"F"	"2005"	"2005"	"25-29 years"	"25-29"	756	9712544	7.8
	"Female"	"F"	"2005"	"2005"	"30-34 years"	"30-34"	1004	9835154	10.2
	"Female"	"F"	"2005"	"2005"	"35-39 years"	"35-39"	1414	10411620	13.6
	"Female"	"F"	"2005"	"2005"	"40-44 years"	"40-44"	2090	11453723	18.2
	"Female"	"F"	"2005"	"2005"	"45-49 years"	"45-49"	2254	11357088	19.8
	"Female"	"F"	"2005"	"2005"	"50-54 years"	"50-54"	1644	10257441	16.0
	"Female"	"F"	"2005"	"2005"	"55-59 years"	"55-59"	877	9007859	9.7
	"Female"	"F"	"2005"	"2005"	"60-64 years "	"60-64"	451	6860551	6.6
	"Female"	"F"	"2005"	"2005"	"65-69 years"	"65-69"	257	5469500	4.7
	"Female"	"F"	"2005"	"2005"	"70-74 years"	"70-74"	178	4729069	3.8
	"Female"	"F"	"2005"	"2005"	"75-79 years"	"75-79"	159	4299256	3.7
	"Female"	"F"	"2005"	"2005"	"80-84 years"	"80-84"	193	3454579	5.6
	"Female"	"F"	"2005"	"2005"	"85-89 years"	"85-89"	135	Not Applicable	Not Applicable
